Estado,Sigla,Ano,N_CASOS,Óbitos
Tocantins,TO,2013,297,57
Alagoas,AL,2014,43,6
Amazonas,AM,2014,2,3
Bahia,BA,2014,513,90
Ceará,CE,2014,621,138
Distrito Federal,DF,2014,44,9
Espírito Santo,ES,2014,4,3
Goiás,GO,2014,40,18
Maranhão,MA,2014,432,60
Minas Gerais,MG,2014,389,111
Mato Grosso do Sul,MS,2014,178,36
Mato Grosso,MT,2014,18,3
Pará,PA,2014,230,21
Paraíba,PB,2014,59,21
Pernambuco,PE,2014,171,27
Piauí,PI,2014,417,75
Paraná,PR,2014,2,3
Rio de Janeiro,RJ,2014,6,3
Rio Grande do Norte,RN,2014,99,15
Roraima,RR,2014,18,0
Rio Grande do Sul,RS,2014,4,0
Sergipe,SE,2014,67,30
São Paulo,SP,2014,192,48
Tocantins,TO,2014,184,24
Alagoas,AL,2015,44,9
Bahia,BA,2015,380,75
Ceará,CE,2015,510,126
Distrito Federal,DF,2015,38,12
Espírito Santo,ES,2015,8,0
Goiás,GO,2015,38,21
Maranhão,MA,2015,519,117
Minas Gerais,MG,2015,473,132
Mato Grosso do Sul,MS,2015,133,33
Mato Grosso,MT,2015,25,3
Pará,PA,2015,269,39
Paraíba,PB,2015,46,21
Pernambuco,PE,2015,181,48
Piauí,PI,2015,317,48
Paraná,PR,2015,5,0
Rio de Janeiro,RJ,2015,7,6
Rio Grande do Norte,RN,2015,82,21
Roraima,RR,2015,21,3
Rio Grande do Sul,RS,2015,1,0
Sergipe,SE,2015,69,33
São Paulo,SP,2015,176,42
Tocantins,TO,2015,216,51
Alagoas,AL,2016,26,3
Amazonas,AM,2016,1,0
Amapá,AP,2016,1,0
Bahia,BA,2016,236,36
Ceará,CE,2016,363,84
Distrito Federal,DF,2016,51,15
Espírito Santo,ES,2016,18,0
Goiás,GO,2016,39,3
Maranhão,MA,2016,650,168
Minas Gerais,MG,2016,554,177
Mato Grosso do Sul,MS,2016,127,21
Mato Grosso,MT,2016,15,6
Pará,PA,2016,342,39
Paraíba,PB,2016,33,9
Pernambuco,PE,2016,116,30
Piauí,PI,2016,262,66
Paraná,PR,2016,13,15
Rio de Janeiro,RJ,2016,8,3
Rio Grande do Norte,RN,2016,87,30
Roraima,RR,2016,43,6
Rio Grande do Sul,RS,2016,2,3
Santa Catarina,SC,2016,2,0
Sergipe,SE,2016,55,33
São Paulo,SP,2016,176,42
Tocantins,TO,2016,235,27
Alagoas,AL,2017,47,9
Bahia,BA,2017,320,66
Ceará,CE,2017,391,102
Distrito Federal,DF,2017,59,6
Espírito Santo,ES,2017,24,3
Goiás,GO,2017,52,6
Maranhão,MA,2017,727,180
Minas Gerais,MG,2017,861,294
Mato Grosso do Sul,MS,2017,151,24
Mato Grosso,MT,2017,21,6
Pará,PA,2017,563,63
Paraíba,PB,2017,47,9
Pernambuco,PE,2017,190,45
Piauí,PI,2017,304,69
Paraná,PR,2017,5,3
Rio de Janeiro,RJ,2017,19,6
Rio Grande do Norte,RN,2017,96,18
Roraima,RR,2017,37,0
Rio Grande do Sul,RS,2017,8,9
Santa Catarina,SC,2017,4,0
Sergipe,SE,2017,77,24
São Paulo,SP,2017,192,33
Tocantins,TO,2017,261,39
Alagoas,AL,2018,106,33
Amazonas,AM,2018,1,0
Amapá,AP,2018,1,0
Bahia,BA,2018,323,87
Ceará,CE,2018,387,81
Distrito Federal,DF,2018,29,9
Espírito Santo,ES,2018,10,0
Goiás,GO,2018,46,12
Maranhão,MA,2018,725,162
Minas Gerais,MG,2018,434,129
Mato Grosso do Sul,MS,2018,106,24
Mato Grosso,MT,2018,18,3
Pará,PA,2018,562,114
Paraíba,PB,2018,47,9
Pernambuco,PE,2018,198,33
Piauí,PI,2018,232,39
Paraná,PR,2018,9,3
Rio de Janeiro,RJ,2018,8,3
Rio Grande do Norte,RN,2018,99,21
Roraima,RR,2018,20,6
Rio Grande do Sul,RS,2018,6,0
Sergipe,SE,2018,80,30
São Paulo,SP,2018,152,39
Tocantins,TO,2018,252,57
Alagoas,AL,2019,72,15
Amazonas,AM,2019,2,0
Bahia,BA,2019,211,42
Ceará,CE,2019,323,78
Distrito Federal,DF,2019,31,3
Espírito Santo,ES,2019,8,3
Goiás,GO,2019,45,6
Maranhão,MA,2019,431,105
Minas Gerais,MG,2019,306,75
Mato Grosso do Sul,MS,2019,123,48
Mato Grosso,MT,2019,12,3
Pará,PA,2019,322,45
Paraíba,PB,2019,46,6
Pernambuco,PE,2019,183,42
Piauí,PI,2019,176,24
Paraná,PR,2019,7,0
Rio de Janeiro,RJ,2019,14,6
